transaction_id,date,hour,type,amount,country,old_balance,new_balance,structuring_flag,rapid_movement_flag,round_amount_flag,high_risk_country,is_suspicious,aml_risk_score,alert_level
TXN000000,2024-07-17,17,CASH_OUT,1695.89,IR,67088.47,65392.58,0,0,0,1,0,35,LOW
TXN000001,2024-06-09,14,DEBIT,14696.56,US,84941.85,70245.29,0,0,0,0,0,2,LOW
TXN000002,2024-05-17,11,CASH_OUT,11952.82,CN,439815.62,427862.8,0,0,0,0,0,17,LOW
TXN000003,2024-03-22,18,PAYMENT,6399.59,UK,283863.2,277463.61,0,0,0,0,0,2,LOW
TXN000004,2024-12-09,17,PAYMENT,4397.39,US,51222.82,46825.43,0,0,0,0,0,1,LOW
TXN000005,2024-03-07,17,TRANSFER,528.34,MX,451002.18,450473.84,0,0,0,0,0,4,LOW
TXN000006,2024-10-25,8,CASH_OUT,3413.27,UK,331839.69,328426.42,0,0,0,0,0,2,LOW
TXN000007,2024-04-09,12,CASH_OUT,3554.21,CN,272031.52,268477.31,0,0,0,0,0,1,LOW
TXN000008,2024-10-09,21,CASH_IN,1022.19,UK,328984.06,330006.25,0,0,0,0,0,0,LOW
TXN000009,2024-03-14,14,PAYMENT,29.86,US,264639.22,264609.36,0,0,0,0,0,5,LOW
TXN000010,2024-08-01,17,CASH_IN,5597.22,US,74551.54,80148.76,0,0,0,0,0,1,LOW
TXN000011,2024-01-30,14,DEBIT,7804.92,US,227281.84,219476.92,0,0,0,0,0,1,LOW
TXN000012,2024-09-18,13,CASH_IN,1525.29,MX,320331.92,321857.21,0,0,0,0,0,1,LOW
TXN000013,2024-12-03,15,TRANSFER,526.46,US,430194.32,429667.86,0,0,0,0,0,2,LOW
TXN000014,2024-12-24,12,DEBIT,5028.39,CN,474360.57,469332.18,0,0,0,0,0,2,LOW
TXN000015,2024-12-06,14,CASH_OUT,3250.6,MX,37323.84,34073.24,0,0,0,0,0,2,LOW
TXN000016,2024-10-10,7,CASH_IN,986.56,NG,302230.83,303217.39,0,0,0,1,0,30,LOW
TXN000017,2024-11-10,18,CASH_OUT,391.41,DE,144536.38,144144.97,0,0,0,0,0,1,LOW
TXN000018,2024-04-27,3,TRANSFER,21910.42,US,379490.37,357579.95,0,0,0,0,1,38,LOW
TXN000019,2024-10-31,15,CASH_OUT,532.47,US,457578.12,457045.65,0,0,0,0,0,3,LOW
TXN000020,2024-02-13,18,TRANSFER,6052.73,UK,252324.05,246271.32,0,0,0,0,0,1,LOW
TXN000021,2024-12-18,10,TRANSFER,1626.72,DE,58253.88,56627.16,0,0,0,0,0,2,LOW
TXN000022,2024-06-25,12,DEBIT,4573.73,IR,127420.06,122846.33,0,0,0,1,0,33,LOW
TXN000023,2024-02-22,21,CASH_IN,25686.5,IR,86777.1,112463.6,0,0,0,1,0,34,LOW
TXN000024,2024-01-04,9,DEBIT,717.17,MX,134338.62,133621.45,0,0,0,0,0,2,LOW
TXN000025,2024-06-23,8,DEBIT,7413.71,CN,181204.07,173790.36,0,0,0,0,0,1,LOW
TXN000026,2024-10-22,12,CASH_OUT,627.72,DE,236256.65,235628.93,0,0,0,0,0,5,LOW
TXN000027,2024-05-19,12,TRANSFER,2958.86,RU,33728.16,30769.3,0,0,0,1,0,34,LOW
TXN000028,2024-11-02,1,TRANSFER,215047.69,RU,203170.91,0.0,0,1,0,1,1,100,HIGH
TXN000029,2024-09-04,13,CASH_OUT,2481.74,UK,495113.42,492631.68,0,0,0,0,0,0,LOW
TXN000030,2024-07-11,8,TRANSFER,8609.33,UK,406575.95,397966.62,0,0,0,0,0,3,LOW
TXN000031,2024-04-16,20,PAYMENT,1505.66,US,361691.61,360185.95,0,0,0,0,0,4,LOW
TXN000032,2024-11-08,10,TRANSFER,11462.76,US,117223.05,105760.29,0,0,0,0,0,15,LOW
TXN000033,2024-02-23,8,PAYMENT,6761.22,NG,43384.62,36623.4,0,0,0,1,0,34,LOW
TXN000034,2024-02-10,10,TRANSFER,8354.07,UK,236877.31,228523.24,0,0,0,0,0,2,LOW
TXN000035,2024-06-27,13,CASH_IN,1711.77,RU,314662.32,316374.09,0,0,0,1,0,34,LOW
TXN000036,2024-08-23,17,TRANSFER,4044.63,US,405863.72,401819.09,0,0,0,0,0,2,LOW
TXN000037,2024-03-17,14,CASH_IN,4753.76,UK,146647.09,151400.85,0,0,0,0,0,3,LOW
TXN000038,2024-11-07,11,TRANSFER,639.32,RU,284145.36,283506.04,0,0,0,1,0,34,LOW
TXN000039,2024-03-29,11,TRANSFER,2494.75,CN,350222.31,347727.56,0,0,0,0,0,5,LOW
TXN000040,2024-08-19,12,CASH_IN,3182.21,RU,78782.84,81965.05,0,0,0,1,0,34,LOW
TXN000041,2024-03-15,10,CASH_IN,507.5,NG,476428.46,476935.96,0,0,0,1,0,34,LOW
TXN000042,2024-03-21,12,CASH_IN,7530.06,UK,344310.93,351840.99,0,0,0,0,0,3,LOW
TXN000043,2024-01-24,9,CASH_IN,1111.08,UK,180736.86,181847.94,0,0,0,0,0,0,LOW
TXN000044,2024-08-24,21,DEBIT,3783.33,RU,479295.83,475512.5,0,0,0,1,0,32,LOW
TXN000045,2024-10-23,17,DEBIT,7906.86,US,291323.85,283416.99,0,0,0,0,0,3,LOW
TXN000046,2024-10-18,18,DEBIT,2796.54,NG,406431.1,403634.56,0,0,0,1,0,32,LOW
TXN000047,2024-11-28,13,CASH_IN,2248.07,MX,290373.1,292621.17,0,0,0,0,0,5,LOW
TXN000048,2024-07-17,15,TRANSFER,4515.48,NG,95015.74,90500.26,0,0,0,1,0,35,LOW
TXN000049,2024-02-13,18,PAYMENT,1308.19,US,325251.28,323943.09,0,0,0,0,0,3,LOW
TXN000050,2024-02-17,19,DEBIT,219.94,UK,267238.16,267018.22,0,0,0,0,0,3,LOW
TXN000051,2024-05-06,14,CASH_IN,4539.78,US,236336.87,240876.65,0,0,0,0,0,0,LOW
TXN000052,2024-08-08,9,CASH_IN,5589.8,US,270292.25,275882.05,0,0,0,0,0,3,LOW
TXN000053,2024-02-15,11,PAYMENT,7756.59,US,38108.07,30351.48,0,0,0,0,0,3,LOW
TXN000054,2024-01-19,1,TRANSFER,30848.77,US,358086.78,327238.01,0,0,0,0,1,36,LOW
TXN000055,2024-01-17,13,CASH_OUT,13684.29,DE,315685.78,302001.49,0,0,0,0,0,20,LOW
TXN000056,2024-02-26,16,TRANSFER,1023.23,US,61595.9,60572.67,0,0,0,0,0,3,LOW
TXN000057,2024-02-03,17,CASH_IN,3370.78,DE,489939.38,493310.16,0,0,0,0,0,3,LOW
TXN000058,2024-05-03,15,CASH_OUT,1017.04,NG,485535.5,484518.46,0,0,0,1,0,34,LOW
TXN000059,2024-08-11,15,CASH_OUT,4458.73,CN,171696.31,167237.58,0,0,0,0,0,2,LOW
TXN000060,2024-12-21,19,DEBIT,45.83,MX,201118.34,201072.51,0,0,0,0,0,3,LOW
TXN000061,2024-09-24,15,CASH_OUT,2204.96,US,375202.54,372997.58,0,0,0,0,0,4,LOW
TXN000062,2024-12-22,13,PAYMENT,5685.97,US,174544.51,168858.54,0,0,0,0,0,2,LOW
TXN000063,2024-02-28,7,CASH_OUT,1708.8,DE,167354.01,165645.21,0,0,0,0,0,5,LOW
TXN000064,2024-04-26,12,CASH_OUT,3103.49,MX,20255.16,17151.67,0,0,0,0,0,3,LOW
TXN000065,2024-08-05,13,CASH_OUT,415.43,UK,107215.57,106800.14,0,0,0,0,0,1,LOW
TXN000066,2024-05-10,13,DEBIT,1114.09,US,89087.6,87973.51,0,0,0,0,0,3,LOW
TXN000067,2024-01-20,23,CASH_OUT,167862.68,CN,375552.66,207689.98,0,0,0,0,1,62,MEDIUM
TXN000068,2024-07-04,8,CASH_OUT,31.83,US,380086.2,380054.37,0,0,0,0,0,0,LOW
TXN000069,2024-11-25,7,DEBIT,1476.07,US,468434.61,466958.54,0,0,0,0,0,4,LOW
